DURATION,DAYS,ESTIMATE
NOT APPLICABLE,?,1
14 DAYS,14,
1 DAY,1,
5 DAYS,5,
2 WEEKS,14,
15 DAY(S),15,
21,21,
10 DAYS,10,
1 DAY(S),1,
30 DAYS,30,
8 WEEKS,56,
20 DAY(S),20,
3 WEEK(S),21,
60 DAYS,60,
15,15,
1 MONTH(S),30,
30 DAY(S),30,
WEEK,7,
15 DAYS,15,
90 DAYS,90,
NO DIGGING,?,1
10,10,
2 MONTHS,60,
2 HOUR(S),1,
12 WEEKS,84,
1,1,
2 DAYS,2,
1 HOUR(S),1,
24 HOUR(S),1,
SPRING 2025,93,
20 DAYS,20,
3 DAYS,3,
6 MONTH(S),180,
1 WEEK,7,
ONE DAY,1,
6 WEEKS,42,
10 DAY(S),10,
ONE WEEK,7,
1 YEAR,365,
2 WEEK(S),14,
2 HOURS,1,
3 WEEKS,21,
4 MONTH(S),120,
3,3,
7 DAYS,7,
3 MONTHS,90,
6 MONTHS,180,
5 HOUR(S),1,
2WEEKS,14,
14,14,
4 DAYS,4,
2WEEKS TO 1 M,30,1
1-2 HRS,1,
8 HRS,1,
5 DAY,5,
1-3 DAYS,3,1
14 DAY(S),14,
1 MONTH,30,
TWO WEEKS,14,
24HRS,1,
1 HOUR,1,
2DAYS,2,
TEN DAYS.,10,
10 HOURS,1,
1 HR,1,
75 DAYS,75,
45 DAYS,45,
NONE,1,
15DAYS,15,
9 MONTHS,270,
2 MONTH,60,
24 NULL,?,1
4 MONTHS,120,
2,2,
4 HRS,1,
SEVERAL WEEKS,?,1
2 YEARS,730,
3DAYS,3,
5 MONTHS,150,
2-3 DAYS,3,1
COUPLE DAYS,2,
21 DAYS,21,
7 DAY(S),7,
24 HRS,1,
1-2 DAYS,2,1
2 DAY,2,
DIGGING,?,1
60,60,
4 WEEKS,28,
3 HOURS,1,
3 HOUR(S),1,
8 DAYS,8,
ONE MONTH,30,
2 OR 3 DAYS,3,1
3-4 DAYS,4,1
5-10 DAYS,10,1
2 DAY(S),2,
2-5 DAYS,5,1
10 WEEKS,70,
7-10 DAYS,10,1
ASAP,?,1
10 MONTHS,300,
1 WEEK(S),7,
3 MONTH(S),90,
4,4,
4 DAY(S),4,
7DAYS,7,
6 NULL,?,1
1 WEEL,7,
6 DAYS,6,
60 MIN,1,
180 DAYS,180,
45,45,
30,30,
16 WEEK,112,
14DAYS,14,
18 MONTHS,540,
7 MONTHS,210,
3WEEKS,21,
6 DAY(S),6,
2 HRS,1,
2 WKS,14,
2 MONTH(S),60,
8 HOURS,1,
4 HOURS,1,
7 WEEK(S),49,
TWO DAYS,2,
48 HOUR(S),2,
1 MAYBE 2 DAYS,2,1
1095 DAYS,1095,
2 WEEKS +,14,1
1 WEEKS,7,
ABOUT 2 DAYS,2,1
2 -3 WEEKS,21,1
8 HR,1,
UNKNOWN,?,1
1-2 HOURS ON ON,1,
12 MONTHS,360,
6-8 MONTHS,240,1
HALF DAY,1,
10DAYS,10,
1 NULL,?,1
UNDETERMINED,?,1
E,?,1
6 WEEK(S),42,
2-3 WEEKS,21,1
A WEEK,7,
3-5 DAYS,5,1
FEW DAYS,?,1
5-DAYS,5,
16 MONTHS,480,
TWO HOURS,1,
5 HR,1,
120 DAYS,120,
