DURATION,DAYS,ESTIMATE
NOT APPLICABLE,0,1
14 DAYS,14,0
1 DAY,1,0
5 DAYS,5,0
2 WEEKS,14,0
15 DAY(S),15,0
21,21,0
10 DAYS,10,0
1 DAY(S),1,0
30 DAYS,30,0
8 WEEKS,56,0
20 DAY(S),20,0
3 WEEK(S),21,0
60 DAYS,60,0
15,15,0
1 MONTH(S),30,0
30 DAY(S),30,0
WEEK,7,0
15 DAYS,15,0
90 DAYS,90,0
NO DIGGING,0,1
10,10,0
2 MONTHS,60,0
2 HOUR(S),1,0
12 WEEKS,84,0
1,1,0
2 DAYS,2,0
1 HOUR(S),1,0
24 HOUR(S),1,0
SPRING 2025,93,0
20 DAYS,20,0
3 DAYS,3,0
6 MONTH(S),180,0
1 WEEK,7,0
ONE DAY,1,0
6 WEEKS,42,0
10 DAY(S),10,0
ONE WEEK,7,0
1 YEAR,365,0
2 WEEK(S),14,0
2 HOURS,1,0
3 WEEKS,21,0
4 MONTH(S),120,0
3,3,0
7 DAYS,7,0
3 MONTHS,90,0
6 MONTHS,180,0
5 HOUR(S),1,0
2WEEKS,14,0
14,14,0
4 DAYS,4,0
2WEEKS TO 1 M,30,1
1-2 HRS,1,0
8 HRS,1,0
5 DAY,5,0
1-3 DAYS,3,1
14 DAY(S),14,0
1 MONTH,30,0
TWO WEEKS,14,0
24HRS,1,0
1 HOUR,1,0
2DAYS,2,0
TEN DAYS.,10,0
10 HOURS,1,0
1 HR,1,0
75 DAYS,75,0
45 DAYS,45,0
NONE,1,0
15DAYS,15,0
9 MONTHS,270,0
2 MONTH,60,0
24 NULL,0,1
4 MONTHS,120,0
2,2,0
4 HRS,1,0
SEVERAL WEEKS,0,1
2 YEARS,730,0
3DAYS,3,0
5 MONTHS,150,0
2-3 DAYS,3,1
COUPLE DAYS,2,0
21 DAYS,21,0
7 DAY(S),7,0
24 HRS,1,0
1-2 DAYS,2,1
2 DAY,2,0
DIGGING,0,1
60,60,0
4 WEEKS,28,0
3 HOURS,1,0
3 HOUR(S),1,0
8 DAYS,8,0
ONE MONTH,30,0
2 OR 3 DAYS,3,1
3-4 DAYS,4,1
5-10 DAYS,10,1
2 DAY(S),2,0
2-5 DAYS,5,1
10 WEEKS,70,0
7-10 DAYS,10,1
ASAP,0,1
10 MONTHS,300,0
1 WEEK(S),7,0
3 MONTH(S),90,0
4,4,0
4 DAY(S),4,0
7DAYS,7,0
6 NULL,0,1
1 WEEL,7,0
6 DAYS,6,0
60 MIN,1,0
180 DAYS,180,0
45,45,0
30,30,0
16 WEEK,112,0
14DAYS,14,0
18 MONTHS,540,0
7 MONTHS,210,0
3WEEKS,21,0
6 DAY(S),6,0
2 HRS,1,0
2 WKS,14,0
2 MONTH(S),60,0
8 HOURS,1,0
4 HOURS,1,0
7 WEEK(S),49,0
TWO DAYS,2,0
48 HOUR(S),2,0
1 MAYBE 2 DAYS,2,1
1095 DAYS,1095,0
2 WEEKS +,14,1
1 WEEKS,7,0
ABOUT 2 DAYS,2,1
2 -3 WEEKS,21,1
8 HR,1,0
UNKNOWN,0,1
1-2 HOURS ON ON,1,0
12 MONTHS,360,0
6-8 MONTHS,240,1
HALF DAY,1,0
10DAYS,10,0
1 NULL,0,1
UNDETERMINED,0,1
E,0,1
6 WEEK(S),42,0
2-3 WEEKS,21,1
A WEEK,7,0
3-5 DAYS,5,1
FEW DAYS,0,1
5-DAYS,5,0
16 MONTHS,480,0
TWO HOURS,1,0
5 HR,1,0
120 DAYS,120,0
1 DASY,1,0
APPROX A DAY,1,1
1 DAY S,1,0
"1 WEEK,",7,0
1-3 WEEKS,21,1
15 NULL,0,1
WINTER,0,1
12 DAYS,12,0
1/2 DAY,1,0
2 TO 3 DAYS,3,1
9 WEEKS,63,0
96 DAYS,96,0
FEW WEEKS,0,1
1 MONTHS,30,0
8 MONTHS,240,0
1HR,1,0
30 WEEK(S),210,0
6 HOURS,1,0
1-2 WEEKS,14,1
250 DAYS,250,0
28 DAYS,28,0
8-9 MONTHS,270,1
1DAY,1,0
2WKS,14,0
I DAY,1,0
14 MONTHS,420,0
1 - 2 DAYS,2,1
04/7/23 -05/1/2,25,0
4 YEARS,1460,0
450 DAYS,450,0
182 DAYS,182,0
5-6 DAYS,6,1
1.5 MONTHS,45,0
1 DAYS,1,0
THREE DAYS,3,0
OVER 15 DAYS,15,1
270,270,0
5,5,0
UNKOWN,0,1
5-7 DAYS,7,1
200 DAYS,200,0
4-6 HOURS,1,0
25 DAYS,25,0
30DAYS,30,0
3 MONTH,90,0
1WEEK,7,0
2-WEEKS,14,0
4-5 DAYS,5,1
OKLAHOMA ELECTR,0,1
LESS THAN 1 DAY,1,1
COUPLE WEEKS,14,0
1 WEEJ,7,0
2 YRS,730,0
1 YR,365,0
48 HRS,2,0
100 DAYS,100,0
90,90,0
30 MINUTES,1,0
6-9 MONTHS,270,1
2-3 MONTHS,90,1
NOT DIGGING,0,1
7,7,0
10 DAY,10,0
AT LEAST 1 MONT,30,1
2HRS,1,0
FOUR WEEKS,28,0
8 TO 10 DAYS,10,1
LESS THAN 10 DA,10,1
O DAYS,1,0
1  YEAR,365,0
7-10 BUSINESS D,14,1
48 HOURS,2,0
1-DAY,1,0
DAY,1,0
5 WEEKS,35,0
12HRS,1,0
160 DAYS,160,0
ALL DAY,1,0
7 DAY,7,0
365 DAYS,365,0
MONTH,30,0
2-3 HOURS,1,0
30 DAYS +/-,30,1
14 DAY,14,0
ONE TO TWO DAYS,2,1
12 HOURS,1,0
6-7 MONTHS,210,1
3 DAY(S),3,0
6-8 WEEKS,56,1
596 HRS.,25,0
100,100,0
FIFTEEN DAYS,15,0
2HR,1,0
14-21 DAYS,21,1
HALF DAY-1 DAY,1,1
3-4 MONTHS,120,1
1-WEEK,7,0
240 DAYS,240,0
IN NEXT THREE D,3,1
3 OR 4 DAYS,4,1
A DAY,1,0
SEVERAL DAYS,0,1
3 DAY,3,0
10  DAYS,10,0
4 TO 8 HOURS,1,0
1-2 MONTHS,60,1
10 BUSINESS DAY,14,0
600 DAYS,600,0
20-30 DAYS,30,1
3 YEARS,1095,0
LESS THAN 1 WEE,7,1
30 MINS,1,0
15-20 DAYS,20,1
1 TO 2 DAYS,2,1
2 DAYS 12/29/20,2,0
8 MOS,240,0
11 MONTHS,330,0
A YEAR,365,0
6DAYS,6,0
COUPLE OF WEEKS,14,0
1 WK,7,0
3WKS,21,0
99DAYS,99,0
72HRS,3,0
4 - 6 WEEKS,42,1
2  WEEKS,14,0
3 HRS,1,0
COUPLE OF DAYS,2,0
150 DAYS,150,0
210 DAYS,210,0
08 HOURS,1,0
6 WKS,42,0
2-3 DAY,3,1
MARCH 10TH-11TH,2,0
60-90 DAYS,90,1
2  DAYS,2,0
1-2 HOURS,1,0
3HR,1,0
15 DAY,15,0
DIGGING HOLES F,0,1
2 MOS,60,0
FEW HOURS,1,0
32 DAYS,32,0
1 HOURS,1,0
30MINS,1,0
4 TO 5 DAYS,5,1
2 WEEK,14,0
2 DAYA,2,0
17 MONTHS,510,0
14 DAYWS,14,0
ON-GOING,0,1
360 DAYS,360,0
SEVERAL MONTHS,0,1
1  MONTH,30,0
NA,0,1
19 DAYS,19,0
4 - 5 WEEKS,35,1
2 WEELS,14,0
5DAYS,5,0
14DAY,14,0
